"X1.1","X1.2","X1.3","X1a.1","X1a.2","X1a.3","X1b.1","X1b.2","X1b.3","X2.1","X2.2","X2.3","X2a.1","X2a.2","X2a.3","X2b.1","X2b.2","X2b.3","NoAct.1","NoAct.2","NoAct.3"
-0.0987331776207978,-0.0987331776207978,-0.0987331776207978,-0.0987331776207978,-0.0987331776207978,-0.0987331776207978,-0.0987331776207978,-0.0987331776207978,-0.0987331776207978,-0.0987331776207978,-0.0987331776207978,-0.0987331776207978,-0.0987331776207978,-0.0987331776207978,-0.0987331776207978,-0.0987331776207978,-0.0987331776207978,-0.0987331776207978,-0.0987331776207978,-0.0987331776207978,-0.0987331776207978
-0.0933305926603087,-0.0933305926603087,-0.0933305926603087,-0.0933305926603087,-0.0933305926603087,-0.0933305926603087,-0.0933305926603087,-0.0933305926603087,-0.0933305926603087,-0.0933305926603087,-0.0933305926603087,-0.0933305926603087,-0.0933305926603087,-0.0933305926603087,-0.0933305926603087,-0.0933305926603087,-0.0933305926603087,-0.0933305926603087,-0.0933305926603087,-0.0933305926603087,-0.0933305926603087
-0.0897561476534003,-0.0897561476534003,-0.0897561476534003,-0.0897561476534003,-0.0897561476534003,-0.0897561476534003,-0.0897561476534003,-0.0897561476534003,-0.0897561476534003,-0.0897561476534003,-0.0897561476534003,-0.0897561476534003,-0.0897561476534003,-0.0897561476534003,-0.0897561476534003,-0.0897561476534003,-0.0897561476534003,-0.0897561476534003,-0.0897561476534003,-0.0897561476534003,-0.0897561476534003
-0.0874640696204573,-0.0874640696204573,-0.0874640696204573,-0.0874640696204573,-0.0874640696204573,-0.0874640696204573,-0.0874640696204573,-0.0874640696204573,-0.0874640696204573,-0.0874640696204573,-0.0874640696204573,-0.0874640696204573,-0.0874640696204573,-0.0874640696204573,-0.0874640696204573,-0.0874640696204573,-0.0874640696204573,-0.0874640696204573,-0.0874640696204573,-0.0874640696204573,-0.0874640696204573
-0.0859822795900516,-0.0859822795900516,-0.0859822795900516,-0.0859822795900516,-0.0859822795900516,-0.0859822795900516,-0.0859822795900516,-0.0859822795900516,-0.0859822795900516,-0.0859822795900516,-0.0859822795900516,-0.0859822795900516,-0.0859822795900516,-0.0859822795900516,-0.0859822795900516,-0.0859822795900516,-0.0859822795900516,-0.0859822795900516,-0.0859822795900516,-0.0859822795900516,-0.0859822795900516
-0.0850792065612781,-0.0837553667373599,-0.0850159094055516,-0.0850792065612781,-0.0850792065612781,-0.0850178046464896,-0.0850792065612781,0.0131749555291696,-0.0850211954980177,-0.0850792065612781,-0.0807631111144456,-0.0850211566430328,-0.0850792065612781,-0.0850792065612781,-0.0850160834400527,-0.0850792065612781,-0.0805087772383577,-0.0850190674668031,-0.0850792065612781,-0.0850792065612781,-0.0850160834400527
-0.0845662138088019,-0.0848866892417121,-0.0845815166515884,-0.0845662138088019,-0.0845662138088019,-0.0845810584251263,-0.0845662138088019,-0.111008884231259,-0.0845802385983165,-0.0845662138088019,-0.0856143295823687,-0.0845802479924897,-0.0845662138088019,-0.0845662138088019,-0.0845814745739004,-0.0845662138088019,-0.0856763873854839,-0.0845807531046961,-0.0845662138088019,-0.0845662138088019,-0.0845814745739004
-0.0843568991620727,-0.0845662171201011,-0.0447090243221661,-0.0843568991620727,-0.0843568991620727,-0.0448821406388773,-0.0843568991620727,-0.102008495083362,-0.0462717285799115,-0.0843568991620727,-0.085041886130125,-0.0462233678358028,-0.0843568991620727,-0.0843568991620727,-0.0440667607176371,-0.0843568991620727,-0.0850824807115011,-0.0460253779074974,-0.0843568991620727,-0.0843568991620727,-0.0460926803160221
-0.0843839084427905,-0.0845149452345883,-0.0944307757866635,-0.0843839084427905,-0.0843839084427905,-0.0943848130756881,-0.0843839084427905,-0.0955929169030042,-0.0940180914223188,-0.0843839084427905,-0.084812888461422,-0.0940308249889484,-0.0843839084427905,-0.0843839084427905,-0.09460047377928,-0.0843839084427905,0.0562777175665365,-0.094083231340126,-0.0843839084427905,-0.0843839084427905,-0.0940659139781332
-0.0845827061061331,-0.084670530543858,-0.0911878009297576,-0.0845827061061331,-0.0845827061061331,-0.0911573295435375,-0.0845827061061331,-0.0921654012830427,-0.0909143121369866,-0.0845827061061331,-0.084870291792685,-0.0909227477367697,-0.0845827061061331,-0.0845827061061331,-0.0913003113073753,-0.0845827061061331,-0.124965772402847,-0.0909574706145625,-0.0845827061061331,-0.0845827061061331,-0.0909460027670815
-0.0849190830236643,-0.0849768571832461,-0.0890694140524997,-0.0849190830236643,-0.0849190830236643,-0.0890501611234554,-0.0203584118250379,-0.0826895347586944,-0.0603035107992944,-0.0849190830236643,-0.0851082988445432,-0.0889019997923763,-0.0849190830236643,-0.0849190830236643,-0.0891404952064232,-0.0849190830236643,-0.103991100000851,-0.00191379764771525,-0.0849190830236643,-0.0849190830236643,-0.0889166951938549
-0.0853530615690109,-0.0853939838404536,0.0487798703766797,-0.0853530615690109,-0.0853530615690109,0.0488053618077215,-0.102171418349507,-0.0906666636999721,0.0423573831988799,-0.0853530615690109,-0.0854871009161569,0.049751814085284,-0.0853530615690109,-0.0853530615690109,0.0554380281047624,-0.0853530615690109,-0.104580086848592,0.0230538495035474,-0.0853530615690109,-0.0853530615690109,0.0489206400277193
-0.0858677237966858,-0.0858953740256592,-0.126048527434837,-0.0858677237966858,-0.0858677237966858,-0.126045934543638,-0.096978392518362,-0.0894309525560334,-0.129789727130717,-0.0858677237966858,-0.0859582981388081,-0.126270704337675,-0.0858677237966858,-0.0858677237966858,-0.128273333192519,-0.0858677237966858,-0.098899409975602,-0.137197682684879,-0.0858677237966858,-0.0858677237966858,-0.126008007641762
-0.0864370330757462,-0.0864537408009698,-0.113600241821419,-0.0864370330757462,-0.0864370330757462,-0.113598012043494,-0.0934344596976131,-0.0886192974306733,-0.116093723852585,-0.0864370330757462,-0.0864917656281149,-0.113751319235015,-0.0864370330757462,-0.0864370330757462,-0.115154350586464,-0.0864370330757462,-0.0950266016723688,-0.121046291360275,-0.0864370330757462,-0.0864370330757462,-0.113568632577874
-0.0870555298772079,-0.0870648565936067,-0.104441684864136,-0.0870555298772079,-0.0870555298772079,-0.104439962469049,-0.091756526844493,-0.0883552797156205,-0.106187726343223,0.0633954395471011,-0.0870860840137255,-0.104537864869738,-0.0870555298772079,-0.0870555298772079,-0.105457384088695,-0.0870555298772079,-0.093119659404344,-0.109724632816946,-0.0870555298772079,-0.0870555298772079,-0.104418925338296
