"RIGHT","LEFT","SCUTE.REMOVED","PIT.TAG/CWT/FLOY","STOCKING.LOCATION","HATCHERY","FEMALE","MALE","STOCK.DATE","SPAWN.DATE","YEAR.CLASS","NUMBERS.STOCKED","AGE.AT.STOCKING","YEARLING.EQUIVALENTS","RPMA"
NA,NA,"4th Left","PIT Tag","Sidney","Garrison","7F7FD66963","220E5F4928",2008-04-23,2007-07-03,2007,15,"Yearling",15,2
NA,NA,"4th Left","PIT Tag","Sidney","Garrison","47151A3D3A","7F7D372A6B",2008-04-23,2007-07-03,2007,4,"Yearling",4,2
NA,NA,"4th Left","PIT Tag","Sidney","Garrison","40636B2945","4.4400000000000004E+40",2008-04-23,2007-07-05,2007,4,"Yearling",4,2
NA,NA,"4th Left","PIT Tag","Sidney","Garrison","47037F460C","1F4A5A5A63",2008-04-23,2007-07-05,2007,7,"Yearling",7,2
NA,NA,"4th Left","PIT Tag","Sidney","Garrison","47037F460C","7F7F066471",2008-04-23,2007-07-05,2007,4,"Yearling",4,2
NA,NA,"4th Left","PIT Tag","Sidney","Garrison","454B380D60","132114552A",2008-04-23,2007-07-06,2007,2,"Yearling",2,2
NA,NA,"4th Left","PIT Tag","Wolf Point","Garrison","1F4A436E66","115529097A",2008-04-18,2007-06-07,2007,10,"Yearling",10,2
NA,NA,"4th Left","PIT Tag","Wolf Point","Garrison","1F4A436E66","115552116A",2008-04-18,2007-06-07,2007,21,"Yearling",21,2
NA,NA,"4th Left","PIT Tag","Wolf Point","Garrison","1F4A436E66","115631222A",2008-04-18,2007-06-07,2007,13,"Yearling",13,2
NA,NA,"4th Left","PIT Tag","Wolf Point","Garrison","7F7B025D51","1F5001721E",2008-04-18,2007-06-26,2007,20,"Yearling",20,2
NA,NA,"4th Left","PIT Tag","Wolf Point","Garrison","7F7B025D51","4441774C6E",2008-04-18,2007-06-26,2007,8,"Yearling",8,2
NA,NA,"4th Left","PIT Tag","Wolf Point","Garrison","7F7B025D51","7F7D41431D",2008-04-18,2007-06-26,2007,7,"Yearling",7,2
NA,NA,"4th Left","PIT Tag","Wolf Point","Garrison","115553544A","1F47652015",2008-04-18,2007-06-27,2007,18,"Yearling",18,2
NA,NA,"4th Left","PIT Tag","Wolf Point","Garrison","470378405D","1F4A34194A",2008-04-18,2007-06-27,2007,5,"Yearling",5,2
NA,NA,"4th Left","PIT Tag","Wolf Point","Garrison","470378405D","1F4B26036D",2008-04-18,2007-06-27,2007,22,"Yearling",22,2
NA,NA,"4th Left","PIT Tag","Wolf Point","Garrison","454B490528","424E36510D",2008-04-18,2007-06-27,2007,8,"Yearling",8,2
NA,NA,"4th Left","PIT Tag","Wolf Point","Garrison","115553544A","4441774C6E",2008-04-18,2007-06-27,2007,9,"Yearling",9,2
NA,NA,"4th Left","PIT Tag","Wolf Point","Garrison","454B490528","4714560E0E",2008-04-18,2007-06-27,2007,20,"Yearling",20,2
NA,NA,"4th Left","PIT Tag","Wolf Point","Garrison","115557165A","431565767B",2008-04-18,2007-06-28,2007,10,"Yearling",10,2
NA,NA,"4th Left","PIT Tag","Wolf Point","Garrison","115557165A","7F7D291A07",2008-04-18,2007-06-28,2007,5,"Yearling",5,2
NA,NA,"4th Left","PIT Tag","Wolf Point","Garrison","4443240458","115552116A",2008-04-18,2007-06-29,2007,8,"Yearling",8,2
NA,NA,"4th Left","PIT Tag","Wolf Point","Garrison","4443240458","132157621A",2008-04-18,2007-06-29,2007,31,"Yearling",31,2
NA,NA,"4th Left","PIT Tag","Wolf Point","Garrison","4443240458","1F4A206A0D",2008-04-18,2007-06-29,2007,24,"Yearling",24,2
