"Hatch_Date","New_0.9","New_1","Old_0.9","Old_1"
1953-07-14,0.0240512732576228,0.0109620314465948,0.0144810062945888,0.00699976609789189
1975-07-02,0.904145719940736,0.603197753660079,0.193679605883736,0.0371321210492717
1975-07-07,0.191968173092972,0.0509165723135021,0.0180465303162696,0.00294471989419727
1975-07-09,0.232333609704951,0.0691196452689865,0.0304421326221788,0.00653841740358947
1975-07-16,0.477207808507113,0.242185736623131,0.165703686478187,0.0632114857348689
1976-06-21,0.445982104011366,0.158168167151257,0.111997281315956,0.024740940224794
1997-07-02,0.926365793206985,0.773578933184549,0.672832613775969,0.425642100534044
2011-06-25,1.58360669490111e-05,3.0227158834466e-06,2.77461963139787e-05,4.52445472614677e-06
2011-07-02,0.000537844279033226,0.000111339943828902,0.000423563869427144,7.92785035547182e-05
2011-07-09,0.000786456532308201,0.000204071201497058,0.000885716641981302,0.000207644137277072
2011-07-16,0.00788923815464153,0.00226534107046274,0.00553356138729152,0.00153005407814161
