"Alt","Year","Hatch_Date","New_0.9","New_1","Old_0.9","Old_1"
"1",1930,1930-06-17,0.0172424451793131,0.00962934566449349,NA,NA
"1",1930,1930-06-21,0.0374986687365824,0.0164292417508034,NA,NA
"1",1930,1930-06-24,0.0607852127347717,0.0230649367021768,NA,NA
"1",1966,1966-06-21,0.0279915035570232,0.0126959587863427,NA,NA
"1",1966,1966-06-25,0.359296389707521,0.0691821805180833,NA,NA
"1",1966,1966-07-02,0.923911683439992,0.572916371814193,NA,NA
"1",1975,1975-07-02,0.445436724155876,0.14443077074981,NA,NA
"1",1975,1975-07-09,0.0988294324643589,0.0244450135444672,NA,NA
"1",1975,1975-07-16,0.321583632429186,0.150492253969775,NA,NA
"1",1976,1976-07-15,0.987623904588737,0.865483188063964,0.40991769348048,NA
"1",1980,1980-06-18,0.00785039454887437,0.00112813735038814,NA,NA
"1",1980,1980-06-21,0.039595983603073,0.00337701235746301,NA,NA
"1",1980,1980-06-25,0.999999975177695,0.999894060096555,0.971305036672399,0.451903086302796
"1",1983,1983-06-18,0.0272760746627551,0.0130058284100597,NA,NA
"1",1983,1983-06-21,0.138765194664854,0.0701411633662376,NA,NA
"1",1983,1983-06-22,0.333549884728785,0.162110943454369,NA,NA
"1",1983,1983-06-25,0.916099512380556,0.697006789507184,0.655949540449773,0.0160779601097717
"1",1985,1985-06-18,0.00173579868445782,0.000989816833796892,NA,NA
"1",1985,1985-06-21,0.00319843627569415,0.00200419409280592,NA,NA
"1",1985,1985-06-22,0.00525258344677299,0.0028173282047674,NA,NA
"1",1985,1985-06-25,0.0129495251986761,0.0068029735857318,NA,NA
"1",1986,1986-06-07,0.018886742058769,0.0045832397717445,NA,NA
"1",1986,1986-06-10,0.18558889875486,0.0644407368078972,NA,NA
"1",1986,1986-06-14,0.999977918223146,0.99653575957611,0.966424516045576,0.651092688241027
"1",1986,1986-06-17,0.999976915460781,0.996165667967368,0.977384611286382,0.750147611464
"1",1987,1987-06-10,0.356613597800493,0.183645377863715,NA,NA
"1",1987,1987-06-17,0.807494477246106,0.56398417030724,0.147177411449963,NA
"1",1987,1987-06-18,0.337424747009839,0.209809746760995,NA,NA
"1",1987,1987-06-21,0.823797587704473,0.643560253337657,0.584797051745055,0.200810894883915
"1",1987,1987-06-25,0.992739112592498,0.951143016464672,0.92747567044849,0.732367926538128
"1",1997,1997-07-05,0.995240460876636,0.959970631252179,0.866676691635941,0.56975992054372
"1",2000,2000-06-16,0.000463855702032629,0.000226001171286105,NA,NA
"1",2000,2000-06-21,0.69126496381929,0.163268184663644,NA,NA
"1",2011,2011-06-25,0.000495550421607635,8.79033461764294e-05,NA,NA
"1",2011,2011-07-03,0.0137536047052264,0.00249367765583637,NA,NA
"1",2011,2011-07-09,0.00106070595606247,0.000269872240623122,NA,NA
"1",2011,2011-07-16,0.0487114641197129,0.0132404622116184,NA,NA
"1",2012,2012-06-14,0.000326468837538404,0.000199698326750556,NA,NA
"1",2012,2012-06-21,0.122610481649904,0.0275046108342695,NA,NA
"1a",1975,1975-07-02,0.270689345214191,0.0602930821215636,NA,NA
"1a",1975,1975-07-09,0.120033550610355,0.0311201424034573,NA,NA
"1a",1975,1975-07-16,0.336813262939487,0.159508364495614,NA,NA
"1a",1987,1987-06-07,0.265596532145235,0.157422607624635,NA,NA
"1a",1987,1987-06-14,0.99106492982576,0.921163977422252,0.931970239360711,0.702819494015669
"1a",1997,1997-07-05,0.911782173461407,0.770269997505072,0.628459280443148,0.180546065520062
"1a",2000,2000-06-21,0.676033344199318,0.177170642215183,NA,NA
"1a",2011,2011-06-25,0.000494447607593666,8.76500067402064e-05,NA,NA
