"","AltNA","Alt1","Alt1a","Alt1b","Alt2","Alt2a","Alt2b"
"Arithmetic_Mean_Full",0.0209387269636199,0.110054239283446,0.0535661161908298,0.130587358869343,0.10935299948272,0.0430690684418228,0.14205567807461
"Min_Full",0,0,0,0,0,0,0
"Median_Full",0,0,0,0,0,0,0
"Max_Full",0.964257728081552,0.966908910228629,0.966892197984644,0.959331523624233,0.966908910406306,0.966377589462154,0.966908910525836
"Number_of_Successes",2,10,5,12,10,4,13
"Geometric_Mean_Successes",0.863715442131487,0.911469568724724,0.886269244917362,0.901737272222813,0.905720132356412,0.890091643925135,0.905312634856988
"Min_Successes",0.773656609898901,0.775323179993631,0.77526794626107,0.774544260338507,0.772909305089755,0.775278968060249,0.773041745475833
"Median_Successes",0.868957168990226,0.94023072421452,0.878344409040512,0.908562389697706,0.912225459569882,0.916538061574444,0.916873185992043
"Max_Successes",0.964257728081552,0.966908910228629,0.966892197984644,0.959331523624233,0.966908910406306,0.966377589462154,0.966908910525836
