"Hatch_Date","New_0.9","New_1","Old_0.9","Old_1"
1975-07-02,0.896078174598276,0.572558854149226,0.231125136070152,0.048072293524288
1975-07-07,0.136037326630913,0.0329122462599705,0.014157100677155,0.00239256296547226
1975-07-09,0.244976577335577,0.074426655202839,0.0331439153701699,0.00722126395818576
1987-06-07,0.443579124972413,0.2725855823661,0.221799214170181,0.11757343871116
1987-06-14,0.980201521506115,0.894875649243575,0.800108565442718,0.579612202756526
1987-06-18,0.999760388919811,0.993992068671229,0.979637806137764,0.880266515319051
1997-07-07,0.988308707754635,0.933665078384794,0.823287703154836,0.602730023062146
2000-06-21,0.0082942700643079,0.00364552623320852,0.00822513447060352,0.00333202402037594
2011-06-25,1.7761547585948e-05,3.34760749001266e-06,2.98828751162729e-05,4.86533098252259e-06
2011-07-02,0.000537844279033226,0.000111339943828902,0.000423563869427144,7.92785035547182e-05
2011-07-09,0.000928337766200422,0.000244339824555911,0.000987005449162979,0.000231971809384168
2011-07-16,0.0105363098539039,0.00302671977302698,0.00657394520900167,0.00181466538194788
