"Hatch_Date","New_0.9","New_1","Old_0.9","Old_1"
1930-06-22,0.0200140159220603,0.0114321963699246,0.0152582308919637,0.00875458593453346
1930-06-24,0.0442133446161085,0.0218254715848896,0.0290388047371778,0.0156861241909049
1930-06-26,0.0495197607520417,0.0260963938084783,0.0380040681990666,0.0206477288140577
1949-06-17,0.00413058073780427,0.00166079326748979,0.00232009569342165,0.00103662704105748
1949-06-21,0.561755958252027,0.162057146263763,0.213443087703878,0.0325621075369612
1949-06-24,0.16068471643131,0.0309497891465416,0.0853766617456083,0.0198913729898678
1966-06-21,0.0214154025004139,0.00767956064153731,0.00619376344567404,0.00304999773338695
1975-07-02,0.74615819739995,0.364138187273927,0.114934481661081,0.0189096759083699
1975-07-07,0.125118239201436,0.0295036635274043,0.0125797746954814,0.00208616792445345
1975-07-09,0.231236635402432,0.068604993260362,0.0301621692649569,0.00646189317240606
1975-07-16,0.475517828746939,0.240821807376729,0.164589871084374,0.0626551698789054
1976-06-21,0.445456636261269,0.157787204075188,0.111688919911714,0.024641504026608
1980-06-19,0.209652043379445,0.0408965960753631,0.0120008007284283,0.00132803521281777
1980-06-21,0.115928098927039,0.0251355363833329,0.00941492600373128,0.0013397834610381
1980-06-24,0.477264065293508,0.148068102518037,0.0353277204569035,0.00309928361413288
1980-06-26,0.921365582905664,0.563600432399406,0.146077874326847,0.0140328304143191
1983-06-21,0.159430301359259,0.0690517720766793,0.0610176131512284,0.0251578300627054
1983-06-26,0.927150343020771,0.719880174740455,0.695640020539763,0.378858727055874
1983-06-28,0.992382190377206,0.923822794637982,0.893806831186042,0.621012421902981
1983-06-30,0.998599366010058,0.965616261496826,0.93086738094912,0.69269299114392
1985-06-21,0.00609775010113369,0.0016510527330886,0.00141740741063304,0.000896997842774967
1985-06-25,0.0460182296393976,0.0097476887692471,0.00490616513149702,0.00215053266234622
1985-06-26,0.0326435391852221,0.00759257745834028,0.00560913376830632,0.00260450492036774
1985-06-28,0.669808264811971,0.252960004917683,0.103123409998695,0.0162022217794861
1985-06-30,0.951202170439613,0.53968216446495,0.311783656519351,0.0490210524333514
1986-06-07,0.201805546353977,0.0568282075148298,0.043553034269158,0.00917113277916254
1986-06-14,0.999999989568193,0.999984056625883,0.994209277534441,0.880855811256269
1987-06-18,0.411937723934252,0.216685003157802,0.163555272389013,0.0766700467024958
1987-06-21,0.582105729764347,0.354587453424473,0.283149293223821,0.144777407909525
1987-06-23,0.569148250242755,0.350237655249938,0.313592424785323,0.169982749160845
1987-06-25,0.75335011053307,0.539520601919139,0.460777369919756,0.278854813004981
1987-06-27,0.901573824122912,0.746433774947325,0.702033738258298,0.499103273354804
1994-06-14,0.0147927594742407,0.00306205481518546,0.00175422078255746,0.000584892103744967
1994-06-21,0.492777388055825,0.140830465321835,0.0422904878264729,0.00809041274705145
1994-06-22,0.399345271920008,0.105162725299566,0.0363626673085775,0.00807331581787094
1994-06-24,0.834741270754828,0.38216172261859,0.128724484260723,0.0197176312287856
2000-06-14,0.0313834421097431,0.00380031943543311,0.00118813077856022,9.42711625545507e-05
2000-06-21,0.00338838239909509,0.00136988578471577,0.00332966223248794,0.00121750881003387
2000-06-23,0.995988483703603,0.842178581200428,0.609584520707187,0.118752409831339
2011-06-25,1.68473078091266e-05,3.15054263398876e-06,2.83850185235718e-05,4.58451164629171e-06
2011-07-02,0.000499027600870651,0.000100535232693726,0.000391315872533186,7.10694470661455e-05
2011-07-09,0.000609785287136728,0.00015160947364803,0.000691742335855539,0.000154930394063724
2011-07-16,0.00586958327069194,0.0016196730682679,0.00407154002969146,0.00108195929283028
2012-06-21,0.014573672951949,0.00527825034732835,0.0132282604556514,0.00447831588233204
