"Year","Weather_Pattern","Flow_Scenario","Standard","Temp_17","Temp_18","Flow_17000","Flow_18000","Overlap_Start","Days_PP_1","Days_PP_5","Overlap_Last_Day"
1930,"Median","Alt.1b","06-17","06-17","06-17","06-17","06-17","06-08","06-15","06-19","06-21"
1930,"Median","Alt.2b","06-17","06-17","06-17","06-17","06-17","06-08","06-15","06-19","06-26"
1949,"High","Alt.1b","06-17","06-17","06-17","06-17","06-17","06-08","06-15","Fail","06-17"
1949,"High","Alt.2b","06-16","06-16","06-17","06-16","06-16","06-08","06-14","Fail","06-17"
1953,"Median","No.Act","Fail","Fail","Fail","Fail","Fail","07-07","07-26","Fail","07-26"
1966,"Low","Alt.2b","06-26","Fail","Fail","06-26","Fail","06-26","06-26","06-26","06-26"
1975,"Median","Alt.1a","08-03","08-03","08-03","08-03","08-03","06-30","08-01","08-05","12-30"
1975,"Median","Alt.1b","08-03","08-03","08-03","08-03","08-03","06-30","08-01","08-05","12-30"
1975,"Median","Alt.2","08-03","08-03","08-03","08-03","08-03","06-30","08-01","08-05","12-30"
1975,"Median","Alt.2a","08-03","08-03","08-03","08-03","08-03","06-30","08-01","08-05","12-30"
1975,"Median","Alt.2b","08-03","08-03","08-03","08-03","08-03","06-30","08-01","08-05","12-30"
1975,"Median","Alt1","08-03","08-03","08-03","08-03","08-03","06-30","08-01","08-05","12-30"
1975,"Median","No.Act","08-03","08-03","08-03","08-03","08-03","06-30","08-01","08-05","12-30"
1976,"Median","Alt.1b","08-03","08-03","08-03","08-03","08-03","06-14","08-01","08-05","12-30"
1976,"Median","Alt.2","08-03","08-03","08-03","08-03","08-03","06-14","08-01","08-05","12-30"
1976,"Median","Alt.2b","08-03","08-03","08-03","08-03","08-03","06-14","08-01","08-05","12-30"
1976,"Median","Alt1","08-03","08-03","08-03","08-03","08-03","06-14","08-01","08-05","12-30"
1976,"Median","No.Act","08-03","08-03","08-03","08-03","08-03","06-14","08-01","08-05","12-30"
1980,"Median","Alt.1b","06-19","06-19","Fail","06-19","06-19","06-14","06-17","06-21","06-24"
1980,"Median","Alt.2","06-14","06-19","Fail","06-14","06-14","06-14","06-14","06-14","06-19"
1980,"Median","Alt.2b","06-18","06-19","06-25","06-18","06-18","06-14","06-16","06-20","06-26"
