"Alt","Year","Hatch_Date","New_0.9","New_1","Old_0.9","Old_1"
"1",1930,1930-06-17,0.0173682114894356,0.00962934566449349,0.0157580523316868,0.00844890303637568
"1",1930,1930-06-21,0.0378296115035161,0.0164292417508034,0.0252880686967873,0.0119739981026209
"1",1930,1930-06-24,0.0614998962973406,0.0230649367021768,0.0338846364086853,0.0153312330688883
"1",1966,1966-06-21,0.0282458062886487,0.0126959587863427,0.0181729453661195,0.00828627660378733
"1",1966,1966-06-25,0.3640181454114,0.0691821805180833,0.0967233483661919,0.0219557748618178
"1",1966,1966-07-02,0.92574733310835,0.572916371814193,0.388476822812749,0.0892186577741959
"1",1975,1975-07-02,0.449060130999937,0.14443077074981,0.0726435865816602,0.00929531443130623
"1",1975,1975-07-09,0.100037705678176,0.0244450135444672,0.0173152862057426,0.00367852539867287
"1",1975,1975-07-16,0.323588001933052,0.150492253969775,0.128195054471104,0.0480900218104034
"1",1976,1976-07-15,0.98814676285073,0.865483188063964,0.58043156257372,0.267743238052452
"1",1980,1980-06-18,0.00800074596492882,0.00112813735038814,0.0013374904526114,0.000630024401886628
"1",1980,1980-06-21,0.0403795369549513,0.00337701235746301,0.0058150034229914,0.000464974962615941
"1",1980,1980-06-25,0.999999978300514,0.999894060096555,0.966705440897421,0.573225184462034
"1",1983,1983-06-18,0.0274774260196374,0.0130058284100597,0.0188987918502621,0.0090729183277939
"1",1983,1983-06-21,0.139694831827632,0.0701411633662376,0.0922594141423861,0.04405827639977
"1",1983,1983-06-22,0.335683182981344,0.162110943454369,0.203056837305873,0.0900244671812938
"1",1983,1983-06-25,0.917367940496572,0.697006789507184,0.74106132374046,0.430325350051067
"1",1985,1985-06-18,0.00174912747726396,0.000989816833796892,0.00118172325225789,0.000804361188620211
"1",1985,1985-06-21,0.00321373660857636,0.00200419409280592,0.00241379475737051,0.00141200468121741
"1",1985,1985-06-22,0.00529347309195576,0.0028173282047674,0.00329944172514554,0.00178784139851763
"1",1985,1985-06-25,0.0130494872346091,0.0068029735857318,0.00871260943540882,0.00483489940926297
"1",1986,1986-06-07,0.0192192989155689,0.0045832397717445,0.00557039337465707,0.0016272069348245
"1",1986,1986-06-10,0.187285937289009,0.0644407368078972,0.074300466391098,0.0202421852913846
"1",1986,1986-06-14,0.999978711295211,0.99653575957611,0.968794157671092,0.741808179202879
"1",1986,1986-06-17,0.999978364669967,0.996165667967368,0.978608102971018,0.7985969438076
"1",1987,1987-06-10,0.358833453173511,0.183645377863715,0.129125377700399,0.0573343176393976
"1",1987,1987-06-17,0.809592366849792,0.56398417030724,0.479939157944854,0.259405499024626
"1",1987,1987-06-18,0.338854841407704,0.209809746760995,0.25673933058077,0.149388919376262
"1",1987,1987-06-21,0.825353167479933,0.643560253337657,0.68907635451088,0.472418205062188
"1",1987,1987-06-25,0.992872253753102,0.951143016464672,0.935941343775866,0.78583069226868
"1",1997,1997-07-05,0.995361909045659,0.959970631252179,0.864992970325824,0.652441991055158
"1",2000,2000-06-16,0.000467404363333229,0.000226001171286105,0.000492029991231695,0.000224624823194262
"1",2000,2000-06-21,0.696351358167682,0.163268184663644,0.231453897599097,0.0228418962888765
"1",2011,2011-06-25,0.000503191462640878,8.79033461764294e-05,0.000259938749446007,3.94183664111431e-05
"1",2011,2011-07-03,0.0139851132789352,0.00249367765583637,0.00353486618869193,0.000595042425997142
"1",2011,2011-07-09,0.00107405534648342,0.000269872240623122,0.00118725350952145,0.000268247677689909
"1",2011,2011-07-16,0.049366904118478,0.0132404622116184,0.0176045614882702,0.00442920845182244
"1",2012,2012-06-14,0.000327893606595208,0.000199698326750556,0.00045551454976124,0.000257279781854276
"1",2012,2012-06-21,0.124380022068966,0.0275046108342695,0.0688741238100843,0.0160272431878344
"1a",1975,1975-07-02,0.273739321477491,0.0602930821215636,0.040288764050068,0.00458352525007215
"1a",1975,1975-07-09,0.121612076968381,0.0311201424034573,0.0202608187560351,0.00431884408852062
"1a",1975,1975-07-16,0.339089517668163,0.159508364495614,0.132785109490587,0.050132922608
"1a",1987,1987-06-07,0.266884739907039,0.157422607624635,0.153171726498681,0.0829513848860677
"1a",1987,1987-06-14,0.991271063748912,0.921163977422252,0.857094655362243,0.604247692953955
"1a",1997,1997-07-05,0.912861575049865,0.770269997505072,0.689643325498046,0.464190557303119
"1a",2000,2000-06-21,0.681015102288651,0.177170642215183,0.182940040397586,0.0167862509530767
"1a",2011,2011-06-25,0.000502068422512321,8.76500067402064e-05,0.000259221136226603,3.92846706647805e-05
"1a",2011,2011-07-02,0.00395515074860179,0.000731141691814308,0.00154043743245237,0.000251894056944689
"1a",2011,2011-07-03,0.00608294714330758,0.00110731357176878,0.00209038991154864,0.000349142425290917
"1a",2012,2012-06-21,0.979790898549374,0.735010353669643,0.554858843287932,0.0982787551888524
"1b",1930,1930-06-17,0.0140739641593516,0.00700257066228624,0.00774818157570514,0.00410981284278466
"1b",1930,1930-06-21,0.0546716963492694,0.021560696049915,0.0216063068221119,0.0111419462998244
"1b",1930,1930-06-24,0.228114297017563,0.0791858317547658,0.0683743501785388,0.0277434591878582
"1b",1949,1949-06-17,0.0967627354459505,0.0259765681770206,0.0171640268329605,0.00369667693401452
"1b",1949,1949-06-21,0.999823085564708,0.982738943521385,0.87383118973697,0.425418750186334
"1b",1949,1949-06-24,0.99914103093142,0.948320489319343,0.814144680400472,0.323362330827293
"1b",1966,1966-06-21,0.0031147051516974,0.00186054448585931,0.00247216127343563,0.00143771543130921
