"Alt","Year","Hatch_Date","Retention","Develop_Mod","Drift_Mod","anoxic_layer"
"1",1985,1985-06-25,0.00574289283435773,"Old",1,TRUE
"1",1986,1986-06-07,0.0340948632265327,"New",0.9,TRUE
"1",1986,1986-06-07,0.00936175869521875,"New",1,TRUE
"1",1986,1986-06-07,0.0085265373366468,"Old",0.9,TRUE
"1",1986,1986-06-07,0.00241268535541656,"Old",1,TRUE
"1",1986,1986-06-10,0.205387755752292,"New",0.9,TRUE
"1",1986,1986-06-10,0.0754926463329523,"New",1,TRUE
"1",1986,1986-06-10,0.082078917384728,"Old",0.9,TRUE
"1",1986,1986-06-10,0.0229040195919137,"Old",1,TRUE
"1",1986,1986-06-14,0.999978711414141,"New",0.9,TRUE
"1",1986,1986-06-14,0.996539851720706,"New",1,TRUE
"1",1986,1986-06-14,0.968892936024345,"Old",0.9,TRUE
"1",1986,1986-06-14,0.746098276775852,"Old",1,TRUE
"1",1986,1986-06-17,0.999978364872248,"New",0.9,TRUE
"1",1986,1986-06-17,0.996168806527716,"New",1,TRUE
"1",1986,1986-06-17,0.978631794261567,"Old",0.9,TRUE
"1",1986,1986-06-17,0.799903914157255,"Old",1,TRUE
"1",1987,1987-06-10,0.370784514586167,"New",0.9,TRUE
"1",1987,1987-06-10,0.194703319385172,"New",1,TRUE
"1",1987,1987-06-10,0.135312652757022,"Old",0.9,TRUE
"1",1987,1987-06-10,0.0611000288705316,"Old",1,TRUE
"1",1987,1987-06-17,0.812583783861997,"New",0.9,TRUE
"1",1987,1987-06-17,0.572262507901147,"New",1,TRUE
"1",1987,1987-06-17,0.486370920646947,"Old",0.9,TRUE
"1",1987,1987-06-17,0.267320051197082,"Old",1,TRUE
"1",1987,1987-06-18,0.361164301840743,"New",0.9,TRUE
"1",1987,1987-06-18,0.23092287938041,"New",1,TRUE
"1",1987,1987-06-18,0.269158536561899,"Old",0.9,TRUE
"1",1987,1987-06-18,0.158807601701136,"Old",1,TRUE
