"Year","Flow_Scenario","Max_Flows","Post_Peak_Date","Post_Peak_Flows","Low_Date","Median_Date","High_Date"
1945,"Alt.2",NA,NA,NA,NA,NA,NA
1945,"Alt.2a",NA,NA,NA,NA,NA,NA
1945,"Alt.2b",NA,NA,NA,NA,NA,NA
1946,"No.Act",NA,NA,NA,NA,NA,NA
1946,"Alt1",NA,NA,NA,NA,NA,NA
1946,"Alt.1a",NA,NA,NA,NA,NA,NA
1946,"Alt.1b",NA,NA,NA,NA,NA,NA
1946,"Alt.2",NA,NA,NA,NA,NA,NA
1946,"Alt.2a",NA,NA,NA,NA,NA,NA
1946,"Alt.2b",NA,NA,NA,NA,NA,NA
1947,"No.Act",NA,NA,NA,NA,NA,NA
1947,"Alt1",NA,NA,NA,NA,NA,NA
1947,"Alt.1a",NA,NA,NA,NA,NA,NA
1947,"Alt.1b",22500,"1947-06-17",TRUE,NA,"1947-06-14","1947-06-14"
1947,"Alt.2",NA,NA,NA,NA,NA,NA
1947,"Alt.2a",NA,NA,NA,NA,NA,NA
1947,"Alt.2b",26548.7710823539,"1947-06-18",TRUE,NA,"1947-06-15","1947-06-12"
1948,"No.Act",NA,NA,NA,NA,NA,NA
1948,"Alt1",NA,NA,NA,NA,NA,NA
1948,"Alt.1a",NA,NA,NA,NA,NA,NA
1948,"Alt.1b",NA,NA,NA,NA,NA,NA
1948,"Alt.2",NA,NA,NA,NA,NA,NA
1948,"Alt.2a",NA,NA,NA,NA,NA,NA
1948,"Alt.2b",NA,NA,NA,NA,NA,NA
1949,"No.Act",NA,NA,NA,NA,NA,NA
1949,"Alt1",NA,NA,NA,NA,NA,NA
1949,"Alt.1a",NA,NA,NA,NA,NA,NA
1949,"Alt.1b",23200,"1949-06-17",TRUE,NA,"1949-06-14","1949-06-14"
1949,"Alt.2",NA,NA,NA,NA,NA,NA
1949,"Alt.2a",NA,NA,NA,NA,NA,NA
1949,"Alt.2b",27923.2311361614,"1949-06-16",TRUE,NA,"1949-06-14","1949-06-13"
1950,"No.Act",NA,NA,NA,NA,NA,NA
1950,"Alt1",NA,NA,NA,NA,NA,NA
1950,"Alt.1a",NA,NA,NA,NA,NA,NA
1950,"Alt.1b",NA,NA,NA,NA,NA,NA
1950,"Alt.2",NA,NA,NA,NA,NA,NA
1950,"Alt.2a",NA,NA,NA,NA,NA,NA
1950,"Alt.2b",NA,NA,NA,NA,NA,NA
