"","NA","1","2"
"Arithmetic_Mean_Full",0.0209387269636199,0.14405402244161,0.153947240786998
"Min_Full",0,0,0
"Median_Full",0,0,0
"Max_Full",0.964257728081552,0.966908910228629,0.966908910525836
"Number_of_Successes",2,13,14
"Geometric_Mean_Successes",0.863715442131487,0.918148489525034,0.911133184110673
"Min_Successes",0.773656609898901,0.775323179993631,0.775278968060249
"Median_Successes",0.868957168990226,0.946007845118464,0.912225459569882
"Max_Successes",0.964257728081552,0.966908910228629,0.966908910525836
