"no_years","avg_lambda","min_lambda","max_lambda"
9,0.845336120181032,0.661820398781496,0.928055237873171
4,0.842578859078049,0.64853835371053,0.935056521347594
7,0.86130251558295,0.656232063462028,0.933093972726975
12,0.850441571638606,0.666853237878734,0.926490778314551
11,0.867346598469726,0.666308929942687,0.930031997903301
10,0.892978961487795,0.666206768370532,0.934206141169363
2,0.84421224311956,0.644285098183982,0.937568754784245
