"V1","V2","V3","V4","V5"
-0.125022708299232,-0.125022708299232,-0.125022708299232,-0.125022708299232,-0.125022708299232
-0.122544454654107,-0.122544454654107,-0.122544454654107,-0.122544454654107,-0.0197145323100671
-0.120894219927944,0.0136053445070028,-0.120894219927944,-0.120894219927944,-0.145894367141607
-0.119868554163352,-0.153941445305043,-0.0317163829774234,-0.119868554163352,-0.136781968744036
-0.11919303861826,-0.142382419388087,-0.140506745195344,-0.11919303861826,-0.129821597549218
-0.118774213301081,-0.133405848267141,-0.133105973911536,-0.117558485094402,-0.125821117677516
-0.118499794003911,-0.128226484525227,-0.12747184901035,-0.11876956509981,-0.122889403084795
-0.11834710841822,-0.124415264074943,-0.12427931987977,-0.118525113275467,-0.121230048421659
0.0510045637545984,-0.122289247988664,-0.121989573811098,-0.107609089597121,-0.109590490317245
-0.163411971754186,-0.120554146368713,-0.120751168707635,-0.120831998063334,-0.121100973091064
-0.14930120531111,-0.119078001536036,-0.109291925671538,-0.12009430676901,-0.118435456285438
-0.138149511083951,-0.118105570582758,-0.121336017207244,-0.119637429458963,-0.11863649889955
-0.131836788665108,-0.11718574187958,-0.120082233214125,-0.119514915965396,-0.117858435825605
-0.127197097887977,-0.116629423041072,-0.11906688475663,-0.119527552745784,-0.117178055398245
-0.124703808616047,-0.0145618493526639,-0.118550834089003,-0.119698603067264,-0.116899069697337
-0.122644591556801,-0.141064839564991,-0.118098669610822,-0.119912719812459,0.0188007978459466
-0.12084444239187,-0.13251992837272,-0.117879510617831,-0.120164154911601,-0.151352618023618
-0.119666542531699,-0.126271143292947,-0.117840247868933,-0.0697366159789025,-0.140268989646452
-0.118497233410021,-0.122773001196545,-0.117960651544183,-0.132558220143418,-0.131656946251938
-0.117788145191286,-0.120231471836861,-0.118125720246578,-0.128999115230545,-0.126799793449336
-0.117002955492911,-0.118846592527312,-0.11830753603977,-0.126345734454354,-0.123232240782774
-0.116668753413947,-0.116542200061286,-0.0276495187198186,-0.125230040975363,-0.121291822577018
-0.116267345153742,-0.116977237042292,-0.0375437726244255,-0.124478030942917,-0.119683800600958
-0.1164104656418,-0.110361831678499,-0.157228422764592,-0.124324884346798,-0.118224889030541
-0.116562017241925,-0.116836616070685,-0.144704602532409,-0.124318562847835,-0.117401196947706
-0.116722545317057,-0.115937410305963,0.0188834619162977,-0.124413416871536,0.0385797717003822
-0.116892636197984,-0.115128063781981,-0.16825125355128,-0.12470166338005,-0.00996709222106181
-0.117072920925892,-0.0277711662360509,-0.153130499254673,-0.125031966887063,-0.175953520633573
-0.117264079414484,-0.135650632683583,-0.141425816141387,-0.125521663865031,-0.156105005477982
-0.117466845088108,-0.128554017650446,-0.134097449087584,-0.126039778111733,0.000416524879981375
-0.117682010061192,-0.123162081707721,-0.128507810944951,-0.126726221696253,-0.1655388640434
-0.117910430934796,-0.120100732751473,-0.12505925342297,-0.127454670839738,-0.149383466970018
-0.118153035298424,-0.116697224340741,-0.122082019404426,-0.128392681667911,-0.0499545930167415
-0.118410829040021,-0.116857174721051,-0.119674801404538,-0.129410274418749,-0.148323007233377
-0.118684904584567,-0.115719106851647,-0.117861320146821,-0.130516217664473,-0.135729180876557
-0.118976450202693,-0.114724699737973,0.042119942383027,-0.131721108651861,-0.126405306380876
-0.119286760555901,-0.114043725311706,-0.156994561480057,-0.133036719165958,-0.119882758190205
-0.119617248675297,-0.113377132917256,-0.143010090795096,-0.13447701820959,0.018387885252725
-0.119969459607448,-0.112928928124141,-0.132167206960681,-0.136058384919615,-0.145542890109813
-0.120345086005495,-0.11244952101858,-0.125704820892551,-0.137800152752645,-0.13156157712454
-0.120745985998006,0.010216614653151,0.0246812745407939,-0.139725308227286,-0.120731378325945
-0.0273515552466661,-0.143341029453479,-0.0510293951309298,-0.141861397990526,-0.114138779898919
-0.138105330917779,-0.133035374247391,-0.164343531262285,-0.14424172047542,-0.109176949776818
-0.138588148357277,-0.125080614870889,-0.0454400194138703,-0.146906912096194,-0.105935039781933
-0.132958935584696,-0.120502817943063,-0.156942136446158,-0.149907089319786,-0.103376708867558
-0.129929565675239,0.0477844749082874,-0.141712767282391,-0.153304788057639,-0.101220260664617
-0.127918425045562,-0.158837569742937,-0.13044943992472,-0.157179069647933,-0.0994957006654311
-0.127039585298745,-0.143549951075995,-0.122980509738839,-0.161631372087486,-0.0980037616906528
-0.126467698887918,-0.131253450026307,-0.117098978571444,-0.0557283158431169,-0.0968267283972724
-0.126065925886077,-0.12392531907351,-0.112861415582259,-0.194772516387665,-0.095621454203327
-0.126011921846077,-0.118221671689262,-0.109582323404756,-0.194071305682369,-0.0947015414820341
-0.126013553784568,-0.11480202146635,-0.106799604987679,-0.195946797207418,-0.0937483741348049
-0.126284395708034,-0.111774978404465,-0.104537868528564,-0.202159964806504,-0.0931084906860352
-0.125245922389518,-0.109268631571128,-0.102582310925796,-0.211343779802401,-0.0924617704644366
-0.127420487235773,-0.107313997268878,0.0124530206145766,-0.22494216187412,-0.0918089850563151
-0.127919742532228,-0.10568274081922,-0.128742440828461,-0.243177040514808,-0.0911509370050338
-0.128790571509402,-0.104470645747856,-0.00830317743765533,-0.268251665187953,-0.0904884560714033
-0.129791559389985,-0.0926966618518157,-0.010948137111137,-0.305022987315706,-0.0898223951993993
-0.130894382154503,-0.0565376071344508,-0.0520714799462287,-0.362048470793023,-0.0891536262270069
-0.0619407841824603,-0.0768737822993697,-0.124779031336102,-0.065470930676485,-0.0608545295460226
-0.0619221464151458,-0.0716494561257858,0.00694256369596176,-0.0636396392422641,-0.235090064971632
-0.0619074784284727,-0.80609345980322,-0.124818881770199,-0.0627492892821336,-0.0917995658142839
-0.0618979248741949,-0.0707176405040175,-0.333454365896919,-0.0618754037180876,-0.0816878795920979
-0.0618896993250146,-0.067925231612114,-0.10011326651764,-0.0618754037180875,-0.0745017293874326
0.0336479876302938,-0.0662866516292267,-0.089086507851573,-0.0883706127751838,-0.0704731510600851
-0.0895114255999834,0.0674567930471452,-0.0810128173864101,-0.0618754037180874,-0.0677015298581477
-0.0801412400132674,-0.103229783464537,-0.0753756234784585,-0.0618754037180874,-0.0661315246853586
-2.17607850890509,-0.0896218144102237,-0.0712145419854675,-0.291719150065894,-0.0863661944872811
-0.318480789147488,-0.079677714346127,-0.0678613536974384,0.0307682844644669,-0.0640215043414542
-0.260594397562866,0.0716564341193714,-0.0819323179383124,-0.105755085786106,-0.0218189604963225
-0.198912401359427,-0.112491837295595,-0.0651320181405062,-0.0912789579783243,-0.0745626546148476
-0.196729771378434,-0.0965178918444332,-0.0628585222921045,-0.0807530403010241,-0.0701556169099258
-0.163910200078174,-0.0846103595415784,-0.0630196593068077,-0.0747983323350725,-0.0670163464188842
-0.136815324940696,-0.560646404577574,-0.0625495038636883,0.093268470559919,-0.0652998822550304
-0.119060448342072,-0.0793611006345138,-0.0621668443779677,-0.118045662613993,-0.353891476459312
-0.10077546615364,-0.0406410435417236,-0.0621954804392881,-0.100307302473245,-0.0640269189650419
-0.092387890142902,-0.0794731733190196,-0.0620208146538218,-1.22455711105401,-0.0634163506992096
-0.0834865336388115,0.0310552665136251,-0.0619768490093905,-0.11706607841692,0.0377772535431544
-0.075406187783649,0.0254752817058098,-0.0608705166486722,-0.100511060465806,-0.0917020595567724
-0.0707625477462251,-0.117925346336316,-0.0621993908883795,-0.093631130162923,-0.0816183194975327
-0.0664233583899272,-0.103317910988706,-0.0590305763445773,-0.0161293722764521,-0.0744581910645446
-0.0642307070087176,-0.0868356511335058,-0.242056481338833,-0.0896163436134035,-0.0703895425711606
-0.0621221791595154,-0.0972506934007872,-0.0861296166342018,-0.0831895721389828,-0.0677112380373221
-0.0612483479572744,-0.0738356165557049,-0.0773804552543653,-0.0755564479319002,-0.0660173766756862
-0.0620988793733871,-0.0705958586847494,-0.361445976521532,-0.0710101427137526,-0.346955471261068
-0.00108375934037882,-0.0680376151028293,-0.0651346306283928,-0.0673655606617876,-0.234923222413435
0.0187733607659888,-0.379198556326329,-0.0721312875203935,-0.0654384587483229,-0.121399519211022
-0.0988142579276304,0.0060138711554983,0.0470273776124755,-0.0637671993851217,-0.102271913213931
-0.0862837553886231,-0.106829481285063,-0.0999010629954839,-0.0631784608943361,-0.51514611012568
-0.0777914433161591,-0.095807529737127,-0.0874454361433237,-0.0552256227360733,-0.0893813179399989
-0.0727381886556023,-0.083583266751421,-0.0782964567782457,-0.0644042085407462,-0.0806616365955432
0.0641897616586367,0.00657658109727187,-0.0731612369718537,-0.0635116119241895,-0.407426671000475
-0.106113830048006,-0.0944905123978897,-0.0693237194337152,-0.0628539766517502,-0.075602636830493
-0.0918333844662147,-0.0842725029246186,-0.067203080199873,-0.0577112238505024,-0.0714048300247527
-0.0813497349637727,-0.076787364666514,-0.299961469077405,-0.063469086755187,-0.0686209592998541
-0.0752362617584055,0.035691986704466,-0.0650482847850938,-0.0629329995711316,0.0839725649541694
